dateReferentiel;route;longueur;prD;depPrD;concessionPrD;absD;cumulD;xD;yD;zD;prF;depPrF;concessionPrF;absF;cumulF;xF;yF;zF;anneeMesureTrafic;typeComptageTrafic;TMJA;RatioPL;lngD;latD;zzD;lngF;latF;zzF
2017-01-01;A0004;744.0;2;94;N;968.0;2986.0;658000.74;6857607.6;0;3;94;N;708.0;3730.0;658751.6;6857626.94;0;2017;Permanent horaire;204200;;2.4280261036408217;48.81716585633964;0.0;2.4382495933469386;48.81738826433122;0.0
2017-01-01;A0004;1114.0;3;94;N;708.0;3730.0;658751.6;6857626.94;0;4;94;N;820.0;4844.0;659864.26;6857543.93;0;2017;Permanent horaire;204200;;2.4382495933469386;48.81738826433122;0.0;2.453409932786115;48.81671195821255;0.0
2017-01-01;A0004;465.0;4;94;N;820.0;4844.0;659864.26;6857543.93;0;5;94;N;266.0;5309.0;660236.27;6857816.55;0;2017;Permanent horaire;231331;8.1;2.453409932786115;48.81671195821255;0.0;2.4584505428338015;48.81918676574467;0.0
2017-01-01;A0004;744.0;5;94;N;266.0;5309.0;660236.27;6857816.55;0;6;94;N;5.0;6053.0;660617.41;6858423.01;0;2017;Permanent horaire;231331;8.1;2.4584505428338015;48.81918676574467;0.0;2.4635850889908975;48.82466422666154;0.0
2017-01-01;A0004;591.0;6;94;N;5.0;6053.0;660617.41;6858423.01;0;6;94;N;596.0;6644.0;661107.15;6858733.28;0;2017;Permanent horaire;231331;8.1;2.4635850889908975;48.82466422666154;0.0;2.4702270922667187;48.82748429760107;0.0
2017-01-01;A0004;1123.0;6;94;N;596.0;6644.0;661107.15;6858733.28;0;7;94;N;720.0;7767.0;662214.28;6858975.82;0;2017;Permanent horaire;231331;8.1;2.4702270922667187;48.82748429760107;0.0;2.485285723067207;48.829731370216024;0.0
2017-01-01;A0004;1441.0;7;94;N;720.0;7767.0;662214.28;6858975.82;0;9;94;N;158.0;9208.0;663616.94;6858759.71;0;2017;Permanent horaire;130493;;2.485285723067207;48.829731370216024;0.0;2.504410618202168;48.82786853964148;0.0
2017-01-01;A0004;3337.0;9;94;N;158.0;9208.0;663616.94;6858759.71;0;12;94;N;464.0;12545.0;666576.56;6859714.91;0;2017;Permanent horaire;130493;;2.504410618202168;48.82786853964148;0.0;2.5446489174271147;48.836619157971235;0.0
2017-01-01;A0004;236.0;12;94;N;464.0;12545.0;666576.56;6859714.91;0;12;94;N;700.0;12781.0;666813.7;6859697.02;0;2017;Permanent horaire;130493;;2.5446489174271147;48.836619157971235;0.0;2.5478809674486294;48.83647052403153;0.0
2017-01-01;A0004;1471.0;13;93;C;858.0;13939.0;667951.08;6859600.37;0;15;93;C;329.0;15410.0;669403.0;6859476.1;0;2017;Permanent horaire;174619;4.4;2.5633832107218417;48.83565889172473;0.0;2.5831719277664935;48.83461186527226;0.0
